age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
52, Private,98926, HS-grad,9, Never-married, Other-service, Unmarried, White, Male,-3,0,44, United-States, <=50K
76, Self-emp-not-inc,132607, Bachelors,12, Married-civ-spouse, Sales, Husband, White, Male,7527,0,44, United-States, >50K
40, Private,243258, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,19,0,57, United-States, >50K
76, State-gov,181259, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,7720,0,44, United-States, >50K
36, Self-emp-inc,115379, Masters,13, Divorced, Exec-managerial, Not-in-family, White, Male,12,0,58, United-States, <=50K
24, Private,274505, Bachelors,12, Never-married, Prof-specialty, Own-child, White, Female,2,0,40, United-States, <=50K
40, Private,80789, HS-grad,8, Married-civ-spouse, Adm-clerical, Wife, White, Female,13,0,35, United-States, >50K
42, Federal-gov,243759, Some-college,10, Divorced, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,18,0,39, Cuba, >50K
37, Private,67638, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,4,0,39, Philippines, >50K
52, Self-emp-not-inc,130237, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male,0,1,55, Mexico, <=50K
47, Private,83336, Masters,14, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander, Male,-19,0,59, Philippines, <=50K
19, Private,124704, Some-college,7, Divorced, Handlers-cleaners, Own-child, White, Male,-27,0,39, United-States, <=50K
21, Private,411522, Some-college,10, Never-married, Other-service, Own-child, Black, Female,3,2104,39, United-States, <=50K
52, Self-emp-not-inc,122890, 7th-8th,12, Married-civ-spouse, Farming-fishing, Husband, White, Male,-6,-1,50, United-States, <=50K
43, Private,111452, Some-college,9, Divorced, Adm-clerical, Unmarried, Black, Female,-13,0,39, United-States, >50K
19, Private,151088, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,26,0,20, United-States, <=50K
30, Private,132254, Bachelors,12, Divorced, Sales, Unmarried, Black, Female,-20,0,7, United-States, <=50K
44, Self-emp-inc,204336, Doctorate,15, Married-civ-spouse, Prof-specialty, Husband, White, Female,24,0,57, United-States, >50K
64, State-gov,210585, Some-college,10, Divorced, Protective-serv, Unmarried, Black, Female,3878,0,35, United-States, <=50K
37, Private,98668, Doctorate,3, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,35,0,36, United-States, <=50K
52, Local-gov,171222, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,11,0,44, United-States, >50K
32, Self-emp-not-inc,156541, Prof-school,15, Married-civ-spouse, Sales, Husband, White, Male,16,0,65, United-States, >50K
37, Private,103873, Bachelors,12, Never-married, Adm-clerical, Own-child, White, Female,5,0,40, United-States, <=50K
44, Private,304020, Some-college,9, Divorced, Tech-support, Other-relative, White, Female,21,0,30, United-States, <=50K
37, Private,186264, Some-college,9, Married-civ-spouse, Tech-support, Wife, Other, Female,1,0,33, United-States, <=50K
42, Self-emp-not-inc,109106, HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Female,31,0,49, United-States, <=50K
31, Private,21681, Assoc-voc,10, Never-married, Craft-repair, Own-child, White, Male,28,0,39, United-States, <=50K
24, Private,223288, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,17,0,29, United-States, <=50K
25, Private,86118, Assoc-voc,10, Never-married, Tech-support, Other-relative, White, Female,19,0,39, United-States, <=50K
38, Private,228525, Some-college,9, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,3,0,58, Cuba, >50K
46, Self-emp-inc,203160, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,39,0,58, United-States, >50K
46, Federal-gov,208962, HS-grad,9, Separated, Craft-repair, Unmarried, Black, Female,9,0,39, United-States, <=50K
40, Federal-gov,24682, HS-grad,12, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,-3,1860,34, United-States, <=50K
63, Self-emp-not-inc,46886, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,-12,0,29, United-States, <=50K
28, Private,473199, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,3883,0,68, United-States, <=50K
20, Private,264494, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,10,0,29, United-States, <=50K
43, Private,127099, Some-college,9, Married-civ-spouse, Sales, Husband, White, Male,8,0,39, United-States, >50K
52, Self-emp-not-inc,262591, Assoc-acdm,12, Married-civ-spouse, Transport-moving, Husband, Black, Male,-19,0,57, United-States, <=50K
41, Private,163020, Some-college,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,1,39, United-States, <=50K
50, Private,331368, Bachelors,12, Divorced, Craft-repair, Not-in-family, White, Male,-31,0,39, United-States, >50K
26, Local-gov,183932, HS-grad,8, Married-civ-spouse, Prof-specialty, Husband, White, Male,15023,0,44, United-States, >50K
23, Private,75044, 5th-6th,2, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,-9,0,39, Honduras, <=50K
36, Private,188688, Bachelors,12, Divorced, Adm-clerical, Not-in-family, White, Female,-9,0,43, United-States, <=50K
